package_name,is_obsolete,version
mrdboulevard.mhealth.mhealth_app,1,1.0.4
com.pclhealth.app,1,1.0.1
com.enochpaintball.enochapp.production,1,3.2.5
com.disableheadphone.headset.speaker,1,1.3.4
com.aliyun.iot.living,1,3.1.1
com.charginganimation.chargingalarm.batteryhealth.batterycharging.batterycharger.mobilefastcharger,1,2.0
com.quirky.android.wink.wink,1,6.9.808.23345
com.bikevo,1,6.6
com.tripper,1,10.31.2018
dm.camera.webcamxipcamera,1,1.13
com.sherpashare.workers,1,35.0
com.lux.heart.rate.monitor.ai,1,1.0.0
com.ctd.ws1n,1,2.2.6
com.innovaphone.clientandroid,1,13r1 sr13 [132392]
de.cytechs.guardian,1,1.1.2
com.procharger.fastbatterycharging.quickcharge,1,1.0
com.tools.town.gps.speed.meter.speedometer,1,1.4
com.libertymutual.uscm.safeco.righttrack,1,2.11.18
com.f9irelesarphonde.fgjfgf,1,1
com.trainerize.topshelftraining,1,7.6.3
com.iris.sensorybox.games.monsters,1,1.4.0
com.dunyakilavuz.SolarX,1,31
com.seers.mpatchandroidapp,1,v1.4_200508
com.vlsmarthome.iswitch,1,1.4
com.everon.evdriver.smartwallbox,1,1.7.1
com.oversea.multimobile.abroad,1,6.0.29
com.lf.lfvtandroid,1,2.27.1.426
com.Espwifi.panda,1,1.2
com.gpsautotrackdz.gps,1,2.0.0
com.tapoplugguide.app84627476856,1,2
com.secure56.app,1,6.0.8
com.yuedong.sporti,1,4.3.5.5.5
at.co.kemmer.mopidy_mobile,1,1.10.0
io.sensoria.rehabdemo,1,1.0.3.204
com.eflforbes.robo,1,1.0.0
org.mrchops.android.digihud,1,1.5.1
com.yarborough.sbt0008,1,1.03
com.fensens.sensor,1,2.10.6
com.screen.lgcast,1,1.1
com.qualcomm.ftcrobotcontroller,1,5.4
com.onebit.gamectrl,1,1.3.3614
com.sertsu.awaker,1,1.25
com.ronasoftstudios.earspot,1,12.2.1
com.daimler.eqstar.android,1,1.17.0
com.bmi.hr_monitor,1,1.2.3
com.rubetek.client,1,2020.5.1
com.bips.securitycameramodminecraft,1,1.0
com.warmup.wsm63,1,1.0.10
com.ble.qunchen.aquariumlamp,1,2.1.199
com.stromsoft.heartrate.healthtracker,1,1.0.1
com.khoahung.detectpower,1,1.1.3
com.locategy.family,1,1.96.2
com.x35_gps.app,1,1.0.4
com.tec.grillbbq,1,1.0.1
com.hy.zzz,1,1.1.62
com.mahdisayd.diesel_monitor,1,1.0
com.emersoncargo.gobtreader,1,1.5
com.waverlylabs.pilot.speech.translator,1,2.5.0-Release
com.roadsense,1,1.0
jp.co.epoint.z3dv,1,ver.0.9.6β
com.richowls.app.bluetoothbuttoncamera,1,1.0.11
skooty.app,1,1.01
com.screenovate.dell.mobileconnect,1,3.0.9268
com.danmini.YBell,1,v2.1.3
eu.pentashot.hitmiss,1,1.0.1
com.benext.dashboard,1,1.9.5
net.cybrook.trackview,1,3.5.28-fmp
com.schaeffler.RobotikAR,1,1.3
com.goforiot.iot,1,0.3.4
com.snow_guru.arinsalsnowguru,1,1.4
